SpCombo,Block,Sp1,Sp1Dens,Sp2,Sp2Dens,tubeID,Tray,Row,Col,MaleSp1,FemaleSp1,MaleSp2,FemaleSp2,FemaleTotal,Treatment
BIRPAN,A,BIR,6,PAN,3,169,2,2,6,3,NA,0,NA,4,Cold Para
BIRPAN,A,BIR,3,PAN,12,157,2,3,6,0,NA,0,NA,3,Cold Para
BIRPAN,A,BIR,3,PAN,3,121,2,4,6,0,NA,0,NA,0,Cold Para
BIRPAN,A,BIR,3,PAN,9,145,2,5,6,1,NA,0,NA,1,Cold Para
BIRPAN,A,BIR,12,PAN,3,193,2,6,6,7,NA,0,NA,6,Cold Para
BIRPAN,A,BIR,3,PAN,6,133,2,7,6,0,NA,1,NA,2,Cold Para
BIRPAN,A,BIR,9,PAN,3,181,2,8,6,6,NA,0,NA,9,Cold Para
BIRPAN,A,BIR,9,PAN,3,184,3,2,6,7,NA,6,NA,11,Cold Safe
BIRPAN,A,BIR,3,PAN,9,148,3,3,6,0,NA,7,NA,8,Cold Safe
BIRPAN,A,BIR,6,PAN,3,172,3,4,6,5,NA,0,NA,7,Cold Safe
BIRPAN,A,BIR,3,PAN,6,136,3,5,6,2,NA,2,NA,2,Cold Safe
BIRPAN,A,BIR,3,PAN,3,124,3,6,6,2,NA,0,NA,2,Cold Safe
BIRPAN,A,BIR,12,PAN,3,196,3,7,6,8,NA,1,NA,8,Cold Safe
BIRPAN,A,BIR,3,PAN,12,160,3,8,6,2,NA,2,NA,4,Cold Safe
BIRPAN,A,BIR,3,PAN,6,139,3,2,8,1,NA,8,NA,18,Hot Para
BIRPAN,A,BIR,6,PAN,3,175,3,3,8,3,NA,8,NA,12,Hot Para
BIRPAN,A,BIR,9,PAN,3,187,3,4,8,17,NA,10,NA,21,Hot Para
BIRPAN,A,BIR,12,PAN,3,199,3,5,8,24,NA,4,NA,20,Hot Para
BIRPAN,A,BIR,3,PAN,12,163,3,6,8,5,NA,42,NA,56,Hot Para
BIRPAN,A,BIR,3,PAN,3,127,3,7,8,8,NA,10,NA,14,Hot Para
BIRPAN,A,BIR,3,PAN,9,151,3,8,8,1,NA,17,NA,20,Hot Para
BIRPAN,A,BIR,3,PAN,6,142,2,2,6,4,NA,26,NA,31,Hot Safe
BIRPAN,A,BIR,3,PAN,9,154,2,3,6,8,NA,22,NA,31,Hot Safe
BIRPAN,A,BIR,6,PAN,3,178,2,4,6,16,NA,5,NA,23,Hot Safe
BIRPAN,A,BIR,3,PAN,3,130,2,5,6,15,NA,18,NA,28,Hot Safe
BIRPAN,A,BIR,12,PAN,3,202,2,6,6,17,NA,17,NA,27,Hot Safe
BIRPAN,A,BIR,3,PAN,12,166,2,7,6,3,NA,44,NA,58,Hot Safe
BIRPAN,A,BIR,9,PAN,3,190,2,8,6,16,NA,19,NA,41,Hot Safe
BIRPAN,B,BIR,3,PAN,12,158,2,2,4,2,NA,10,NA,12,Cold Para
BIRPAN,B,BIR,3,PAN,6,134,2,3,4,4,NA,5,NA,10,Cold Para
BIRPAN,B,BIR,6,PAN,3,170,2,4,4,9,NA,2,NA,18,Cold Para
BIRPAN,B,BIR,3,PAN,3,122,2,5,4,9,NA,2,NA,13,Cold Para
BIRPAN,B,BIR,12,PAN,3,194,2,6,4,12,NA,1,NA,9,Cold Para
BIRPAN,B,BIR,9,PAN,3,182,2,7,4,1,NA,1,NA,11,Cold Para
BIRPAN,B,BIR,3,PAN,9,146,2,8,4,0,NA,2,NA,1,Cold Para
BIRPAN,B,BIR,9,PAN,3,185,2,2,4,11,NA,0,NA,6,Cold Safe
BIRPAN,B,BIR,3,PAN,3,125,2,3,4,6,NA,1,NA,2,Cold Safe
BIRPAN,B,BIR,6,PAN,3,173,2,4,4,6,NA,0,NA,5,Cold Safe
BIRPAN,B,BIR,3,PAN,12,161,2,5,4,1,NA,21,NA,13,Cold Safe
BIRPAN,B,BIR,3,PAN,6,137,2,6,4,7,NA,0,NA,2,Cold Safe
BIRPAN,B,BIR,12,PAN,3,197,2,7,4,15,NA,3,NA,16,Cold Safe
BIRPAN,B,BIR,3,PAN,9,149,2,8,4,1,NA,11,NA,21,Cold Safe
BIRPAN,B,BIR,9,PAN,3,188,2,2,3,20,NA,2,NA,29,Hot Para
BIRPAN,B,BIR,12,PAN,3,200,2,3,3,29,NA,6,NA,38,Hot Para
BIRPAN,B,BIR,3,PAN,9,152,2,4,3,9,NA,48,NA,40,Hot Para
BIRPAN,B,BIR,6,PAN,3,176,2,5,3,17,NA,3,NA,22,Hot Para
BIRPAN,B,BIR,3,PAN,3,128,2,6,3,10,NA,19,NA,33,Hot Para
BIRPAN,B,BIR,3,PAN,12,164,2,7,3,7,NA,18,NA,23,Hot Para
BIRPAN,B,BIR,3,PAN,6,140,2,8,3,5,NA,9,NA,17,Hot Para
BIRPAN,B,BIR,3,PAN,9,155,3,2,3,7,NA,33,NA,33,Hot Safe
BIRPAN,B,BIR,12,PAN,3,203,3,3,3,12,NA,2,NA,18,Hot Safe
BIRPAN,B,BIR,3,PAN,6,143,3,4,3,3,NA,11,NA,26,Hot Safe
BIRPAN,B,BIR,6,PAN,3,179,3,5,3,16,NA,22,NA,37,Hot Safe
BIRPAN,B,BIR,9,PAN,3,191,3,6,3,40,NA,9,NA,34,Hot Safe
BIRPAN,B,BIR,3,PAN,3,131,3,7,3,3,NA,8,NA,9,Hot Safe
BIRPAN,B,BIR,3,PAN,12,167,3,8,3,2,NA,55,NA,52,Hot Safe
BIRPAN,C,BIR,3,PAN,3,123,2,2,5,1,NA,1,NA,3,Cold Para
BIRPAN,C,BIR,3,PAN,9,147,2,3,5,0,NA,2,NA,4,Cold Para
BIRPAN,C,BIR,6,PAN,3,171,2,4,5,1,NA,0,NA,3,Cold Para
BIRPAN,C,BIR,9,PAN,3,183,2,5,5,8,NA,1,NA,9,Cold Para
BIRPAN,C,BIR,12,PAN,3,195,2,6,5,1,NA,0,NA,6,Cold Para
BIRPAN,C,BIR,3,PAN,12,159,2,7,5,0,NA,3,NA,2,Cold Para
BIRPAN,C,BIR,3,PAN,6,135,2,8,5,1,NA,0,NA,1,Cold Para
BIRPAN,C,BIR,3,PAN,9,150,3,2,1,6,NA,1,NA,11,Cold Safe
BIRPAN,C,BIR,3,PAN,6,138,3,3,1,7,NA,0,NA,7,Cold Safe
BIRPAN,C,BIR,6,PAN,3,174,3,4,1,9,NA,0,NA,12,Cold Safe
BIRPAN,C,BIR,9,PAN,3,186,3,5,1,12,NA,1,NA,20,Cold Safe
BIRPAN,C,BIR,12,PAN,3,198,3,6,1,17,NA,2,NA,15,Cold Safe
BIRPAN,C,BIR,3,PAN,3,126,3,7,1,9,NA,2,NA,15,Cold Safe
BIRPAN,C,BIR,3,PAN,12,162,3,8,1,8,NA,6,NA,14,Cold Safe
BIRPAN,C,BIR,3,PAN,6,141,2,2,8,4,NA,29,NA,22,Hot Para
BIRPAN,C,BIR,12,PAN,3,201,2,3,8,31,NA,19,NA,47,Hot Para
BIRPAN,C,BIR,3,PAN,9,153,2,4,8,3,NA,44,NA,46,Hot Para
BIRPAN,C,BIR,3,PAN,3,129,2,5,8,6,NA,23,NA,20,Hot Para
BIRPAN,C,BIR,3,PAN,12,165,2,6,8,5,NA,62,NA,53,Hot Para
BIRPAN,C,BIR,9,PAN,3,189,2,7,8,12,NA,7,NA,21,Hot Para
BIRPAN,C,BIR,6,PAN,3,177,2,8,8,13,NA,24,NA,31,Hot Para
BIRPAN,C,BIR,9,PAN,3,192,3,2,6,18,NA,17,NA,46,Hot Safe
BIRPAN,C,BIR,3,PAN,3,132,3,3,6,6,NA,10,NA,17,Hot Safe
BIRPAN,C,BIR,12,PAN,3,204,3,4,6,15,NA,30,NA,53,Hot Safe
BIRPAN,C,BIR,3,PAN,6,144,3,5,6,2,NA,23,NA,27,Hot Safe
BIRPAN,C,BIR,6,PAN,3,180,3,6,6,8,NA,18,NA,27,Hot Safe
BIRPAN,C,BIR,3,PAN,9,156,3,7,6,9,NA,28,NA,54,Hot Safe
BIRPAN,C,BIR,3,PAN,12,168,3,8,6,7,NA,27,NA,32,Hot Safe
BIRPSA,A,BIR,6,PSA,3,253,3,2,7,1,NA,1,NA,4,Cold Para
BIRPSA,A,BIR,3,PSA,6,217,3,3,7,2,NA,1,NA,1,Cold Para
BIRPSA,A,BIR,3,PSA,9,229,3,4,7,0,NA,0,NA,1,Cold Para
BIRPSA,A,BIR,3,PSA,3,205,3,5,7,0,NA,0,NA,0,Cold Para
BIRPSA,A,BIR,12,PSA,3,277,3,6,7,2,NA,0,NA,4,Cold Para
BIRPSA,A,BIR,3,PSA,12,241,3,7,7,4,NA,0,NA,3,Cold Para
BIRPSA,A,BIR,9,PSA,3,265,3,8,7,2,NA,1,NA,0,Cold Para
BIRPSA,A,BIR,3,PSA,12,244,3,2,8,4,NA,1,NA,5,Cold Safe
BIRPSA,A,BIR,6,PSA,3,256,3,3,8,1,NA,1,NA,7,Cold Safe
BIRPSA,A,BIR,3,PSA,3,208,3,4,8,2,NA,1,NA,2,Cold Safe
BIRPSA,A,BIR,3,PSA,9,232,3,5,8,3,NA,2,NA,2,Cold Safe
BIRPSA,A,BIR,9,PSA,3,268,3,6,8,13,NA,1,NA,9,Cold Safe
BIRPSA,A,BIR,12,PSA,3,280,3,7,8,22,NA,1,NA,13,Cold Safe
BIRPSA,A,BIR,3,PSA,6,220,3,8,8,4,NA,1,NA,1,Cold Safe
BIRPSA,A,BIR,12,PSA,3,283,2,2,6,6,NA,6,NA,14,Hot Para
BIRPSA,A,BIR,9,PSA,3,271,2,3,6,3,NA,1,NA,17,Hot Para
